EN SOURCE (canonical, in use)	ORIGIN	INTERIM DE (replace with approved copy)	INTERIM TH (replace)	INTERIM JA (replace)
Airport Pickup by Mercedes-Benz	dynamic renderer	Flughafenabholung im Mercedes-Benz	รับจากสนามบินด้วยเมอร์เซเดส-เบนซ์	メルセデス・ベンツで空港お迎え
Allergy · None reported	dynamic renderer	Allergie · keine gemeldet	ภูมิแพ้ · ไม่มีรายงาน	アレルギー・報告なし
Alms Giving	static page source	Almosengabe	พิธีตักบาตร	托鉢の儀
Alms Giving · at dawn	static page source	Almosengabe · im Morgengrauen	พิธีตักบาตร · ยามรุ่งสาง	托鉢の儀・夜明けに
Alms Giving 05:00 AM · Vow Ceremony 04:30 PM · Wedding Dinner 07:30 PM · Souphattra Heritage Vientiane	dynamic renderer	Almosengabe 05:00 Uhr · Eheversprechen 16:30 Uhr · Hochzeitsdinner 19:30 Uhr · Souphattra Heritage Vientiane	ตักบาตร 05:00 น. · พิธีกล่าวคำสัญญา 16:30 น. · งานเลี้ยงมงคลสมรส 19:30 น. · สุพัตรา เฮอริเทจ เวียงจันทน์	托鉢の儀 5:00・誓いの式 16:30・ウェディングディナー 19:30・スパッタラ・ヘリテージ
alms.	static page source	Almosen.	ตักบาตร	托鉢。
Alternative stay	static page source	Alternative Unterkunft	ที่พักทางเลือก	もう一つの滞在
and Guest Relations will help right away. Your invitation details are never published on this page.	static page source	und Guest Relations hilft sofort. Eure Einladungsdetails werden auf dieser Seite nie veröffentlicht.	แล้วฝ่ายดูแลแขกจะช่วยทันที รายละเอียดบัตรเชิญของคุณจะไม่ถูกเผยแพร่บนหน้านี้	ゲストリレーションズがすぐに対応します。ご招待の詳細がこのページに公開されることはありません。
and request it in your Guest Area. A small number of complimentary alternative stays are also available, personally coordinated — Guest Relations is happy to help with rooms, availability or anything individual.	static page source	und fragt es in eurem Gästebereich an. Eine kleine Zahl kostenfreier Alternativ-Unterkünfte ist ebenfalls verfügbar, persönlich koordiniert — Guest Relations hilft gern bei Zimmern, Verfügbarkeit oder allem Individuellen.	แล้วส่งคำขอในพื้นที่สำหรับแขก ยังมีที่พักทางเลือกไม่มีค่าใช้จ่ายจำนวนเล็กน้อย ประสานงานเป็นการส่วนตัว ฝ่ายดูแลแขกยินดีช่วยทุกเรื่อง	ゲストエリアでリクエストを。数に限りある無料のオルタナティブステイもあり、個別に調整——お部屋も空きも、どんなご相談もゲストリレーションズへ。
and tell us which parts of the journey you are joining.	static page source	und sagt uns, welche Teile der Reise ihr mitgeht.	แล้วบอกเราว่าคุณจะร่วมช่วงใดของการเดินทาง	旅のどの行程にご一緒くださるか、お聞かせください。
Any food allergies?	dynamic renderer	Lebensmittelallergien?	แพ้อาหารหรือไม่?	食物アレルギーはありますか？
Anything specific to you and your room	static page source	Alles rund um euch und euer Zimmer	ทุกอย่างที่เกี่ยวกับคุณและห้องของคุณ	あなたとお部屋にまつわるすべて
Anything that matters for the train journey (mobility, luggage, comfort)	dynamic renderer	Alles, was für die Zugfahrt wichtig ist (Mobilität, Gepäck, Komfort)	สิ่งที่สำคัญสำหรับการเดินทางด้วยรถไฟ (การเคลื่อนไหว สัมภาระ ความสะดวก)	列車の旅で大切なこと（移動・荷物・快適さ）
are getting married, and you are invited on the journey.	static page source	heiraten — und ihr seid eingeladen, die Reise mitzugehen.	กำลังจะแต่งงาน และคุณได้รับเชิญให้ร่วมเดินทางไปด้วยกัน	が結婚します。そして、あなたをこの旅にご招待します。
Arrange a spa or massage experience?	dynamic renderer	Ein Spa- oder Massageerlebnis arrangieren?	ต้องการสปาหรือนวดไหม?	スパやマッサージをご希望ですか？
ARRANGED	dynamic renderer	ARRANGIERT	จัดเตรียมแล้ว	手配済み
Arranged independently	dynamic renderer	Eigenständig organisiert	จัดการด้วยตัวเอง	ご自身で手配
ARRANGED WITH GUEST RELATIONS	dynamic renderer	MIT GUEST RELATIONS ARRANGIERT	จัดเตรียมกับฝ่ายดูแลแขกแล้ว	ゲストリレーションズが手配
ARRANGED WITH GUEST RELATIONS · pickup follows your train arrival	dynamic renderer	MIT GUEST RELATIONS ARRANGIERT · Abholung folgt eurer Zugankunft	จัดเตรียมกับฝ่ายดูแลแขกแล้ว · รถรับตามเวลาที่รถไฟถึง	ゲストリレーションズが手配・列車到着後にお迎え
ARRANGED WITH GUEST RELATIONS · your room in the penthouse follows personally	dynamic renderer	MIT GUEST RELATIONS ARRANGIERT · euer Zimmer im Penthouse folgt persönlich	จัดเตรียมกับฝ่ายดูแลแขกแล้ว · ห้องของคุณในเพนต์เฮาส์จะแจ้งเป็นการส่วนตัว	ゲストリレーションズが手配・ペントハウスのお部屋は個別にご案内
Arrival	static page source	Ankunft	การมาถึง	ご到着
Arrival & Departure	dynamic renderer	Ankunft & Abreise	การมาถึงและเดินทางกลับ	到着と出発
Arrival & Stay	static page source	Ankunft & Aufenthalt	การมาถึงและการพัก	到着と滞在
Arrival, ceremony and dinner are each designed so you can be fully present, not moved through a schedule.	static page source	Ankunft, Zeremonie und Dinner sind so gestaltet, dass ihr ganz gegenwärtig sein könnt — statt durch einen Zeitplan geschoben zu werden.	การมาถึง พิธี และงานเลี้ยง ล้วนออกแบบให้คุณได้อยู่กับช่วงเวลานั้นอย่างเต็มที่ ไม่ใช่ถูกพาไปตามตาราง	到着も、式も、ディナーも——予定に追われるのではなく、その瞬間に心から居られるように設えています。
Arrive Nong Khai	dynamic renderer	Ankunft Nong Khai	ถึงหนองคาย	ノーンカーイ到着
Arriving independently	dynamic renderer	Eigenständige Anreise	เดินทางมาเอง	自力での到着
Arriving independently in Vientiane	dynamic renderer	Eigenständige Anreise nach Vientiane	เดินทางมาเวียงจันทน์ด้วยตัวเอง	ご自身でビエンチャンへ
As the day softens, everyone gathers at Souphattra Heritage Vientiane. Stillness, presence, and the vow spoken in front of the people who matter most.	static page source	Wenn der Tag weicher wird, versammeln sich alle im Souphattra Heritage Vientiane. Stille, Gegenwart — und das Versprechen, gesprochen vor den Menschen, die am meisten bedeuten.	เมื่อแสงแดดอ่อนลง ทุกคนมารวมกันที่สุพัตรา เฮอริเทจ ความสงบ การอยู่ตรงนั้น และคำสัญญาที่เอ่ยต่อหน้าคนสำคัญที่สุด	日が和らぐころ、みなが集います。静けさと、その場に在ることと、大切な人々の前で交わされる誓い。
As the day softens: stillness, presence, and the vow made public in front of the people who matter most.	static page source	Wenn der Tag weicher wird: Stille, Gegenwart, und das Versprechen — öffentlich, vor den Menschen, die am meisten bedeuten.	เมื่อแสงของวันอ่อนโยนลง ความสงบ ความรู้สึกอยู่ตรงนั้น และคำสัญญาที่เอ่ยต่อหน้าคนที่สำคัญที่สุด	日が和らぐころ——静けさと、その場に在ること。最も大切な人々の前で交わされる、誓いのことば。
as you belong.	static page source	wie ihr dazugehört.	คุณเป็นส่วนหนึ่ง	そのままで家族。
at a glance.	static page source	auf einen Blick.	โดยสรุป	ひと目で。
At first light	static page source	Im ersten Licht	ยามแสงแรก	夜明けの光に
Availability	static page source	Verfügbarkeit	ห้องว่าง	空き状況
Back	static page source	Zurück	ย้อนกลับ	戻る
Balcony	dynamic renderer	Balkon	ระเบียง	バルコニー
Bangkok arrival	dynamic renderer	Ankunft in Bangkok	ถึงกรุงเทพฯ	バンコク到着
Bangkok stay	dynamic renderer	Bangkok-Aufenthalt	ที่พักกรุงเทพฯ	バンコク滞在
Bar	static page source	Bar	บาร์	バー
Bathrobe	static page source	Bademantel	เสื้อคลุมอาบน้ำ	バスローブ
Bathroom amenities	static page source	Badezimmer-Amenities	ของใช้ในห้องน้ำ	バスアメニティ
Bathtub	static page source	Badewanne	อ่างอาบน้ำ	バスタブ
Beautiful things are	static page source	Etwas Schönes ist	สิ่งงดงามกำลังจะ	美しいことが、
Bed	static page source	Bett	เตียง	ベッド
Bed preference	dynamic renderer	Bettwunsch	รูปแบบเตียงที่ต้องการ	ベッドの希望
Before the wedding	dynamic renderer	Vor der Hochzeit	ก่อนวันงาน	挙式前
Before the wedding day begins, we gather in the early light for the alms giving at Souphattra Heritage Vientiane. Monks walk in procession, rice is offered, and nothing is hurried. It is a Lao morning, and it opens the whole day.	static page source	Bevor der Hochzeitstag beginnt, versammeln wir uns im frühen Licht zur Almosengabe im Souphattra Heritage Vientiane. Mönche ziehen in Prozession, Reis wird gereicht, nichts wird eilig. Es ist ein laotischer Morgen — und er eröffnet den ganzen Tag.	ก่อนวันแต่งงานจะเริ่ม เรารวมตัวกันในแสงเช้าตรู่เพื่อพิธีตักบาตรที่สุพัตรา เฮอริเทจ พระสงฆ์เดินบิณฑบาต ถวายข้าว อย่างไม่รีบร้อน นี่คือเช้าแบบลาว และเป็นการเปิดวันทั้งวัน	式の一日が始まる前、朝の光の中で托鉢に集います。僧侶の列が進み、米が捧げられ、何も急がない。ラオスの朝が、この日全体を開きます。
Before You Travel	static page source	Vor der Reise	ก่อนออกเดินทาง	ご出発前に
Before you travel, write to	static page source	Schreibt vor der Reise an	ก่อนเดินทาง เขียนถึง	ご出発前にご連絡を：
Begin	static page source	Beginnen	เริ่มต้น	はじめる
Between Wattay International Airport / Vientiane railway station and Souphattra Heritage on arrival day. Guest Relations confirms your pickup time personally.	dynamic renderer	Zwischen Wattay International Airport / Bahnhof Vientiane und dem Souphattra Heritage am Ankunftstag. Guest Relations bestätigt eure Abholzeit persönlich.	ระหว่างสนามบินวัตไต / สถานีรถไฟเวียงจันทน์ กับสุพัตรา เฮอริเทจ ในวันเดินทางมาถึง ฝ่ายดูแลแขกจะยืนยันเวลารับด้วยตนเอง	ご到着日に、ワッタイ国際空港／ビエンチャン駅とスパッタラ・ヘリテージの間を送迎。お迎え時刻はゲストリレーションズがご案内します。
Black Tie	static page source	Black Tie	แบล็กไท	ブラックタイ
Breakfast included	static page source	Frühstück inklusive	รวมอาหารเช้า	朝食付き
Breakfast is included on both mornings. A limited number of complimentary alternative stays are also available.	dynamic renderer	Frühstück ist an beiden Morgen inklusive. Eine begrenzte Zahl kostenfreier Alternativ-Unterkünfte ist ebenfalls verfügbar.	รวมอาหารเช้าทั้งสองวัน และยังมีที่พักทางเลือกแบบไม่มีค่าใช้จ่ายจำนวนจำกัด	両日の朝食付き。数に限りのある無料のオルタナティブステイもご用意しています。
Breakfast on both mornings	dynamic renderer	Frühstück an beiden Morgen	อาหารเช้าทั้งสองวัน	両日の朝食
bring you to us?	static page source	führen euch zu uns?	จะพาคุณมาหาเรา	あなたを届けてくれますか
By overnight sleeper train — Special Express No. 25 — to Nong Khai, then across the border · route reference:	static page source	Mit dem Nachtzug — Special Express No. 25 — nach Nong Khai, dann über die Grenze · Streckenreferenz:	โดยรถไฟตู้นอน รถด่วนพิเศษขบวนที่ 25 สู่หนองคาย แล้วข้ามพรมแดน · อ้างอิงเส้นทาง:	夜行寝台・特急25号でノーンカーイへ、そして国境越え・路線参照：
Calm	static page source	Ruhe	ความสงบ	静けさ
Choose the way that suits you — selecting one quietly sets the other aside.	dynamic renderer	Wählt den Weg, der zu euch passt — die Wahl des einen legt den anderen still beiseite.	เลือกแบบที่เหมาะกับคุณ เมื่อเลือกอย่างหนึ่ง อีกอย่างจะถูกพักไว้ให้เอง	ご都合に合う方をお選びください。一方を選ぶと、もう一方は自然に外れます。
Choose under My Stay	dynamic renderer	Unter „Mein Zimmer“ wählen	เลือกได้ที่ ที่พักของฉัน	「宿泊」からお選びください
Choose under My Travel	dynamic renderer	Unter „Meine Anreise“ wählen	เลือกได้ที่ การเดินทาง	「交通」からお選びください
Choose where you wake up: your room at Souphattra Heritage Vientiane.	dynamic renderer	Wählt, wo ihr aufwacht: euer Zimmer im Souphattra Heritage Vientiane.	เลือกที่ที่คุณจะตื่นนอน ห้องของคุณที่สุพัตรา เฮอริเทจ เวียงจันทน์	目覚める場所を選んでください——スパッタラ・ヘリテージの客室を。
choose your category	static page source	wählt eure Kategorie	เลือกประเภทห้องของคุณ	カテゴリーを選ぶ
Choose your room	dynamic renderer	Wählt euer Zimmer	เลือกห้องของคุณ	お部屋を選ぶ
Choose your service — everything else is arranged for you. Guest Relations confirms every journey personally; private cars are charged per vehicle, never per guest.	dynamic renderer	Wählt euren Service — alles andere wird für euch arrangiert. Guest Relations bestätigt jede Fahrt persönlich; Privatwagen werden pro Fahrzeug berechnet, nie pro Gast.	เลือกบริการของคุณ ส่วนที่เหลือเราจัดการให้ ฝ่ายดูแลแขกยืนยันทุกการเดินทางด้วยตนเอง รถส่วนตัวคิดต่อคัน ไม่ใช่ต่อท่าน	サービスをお選びください。あとはすべてお任せを。各送迎はゲストリレーションズが直接確定します。専用車は1台単位のご請求で、人数分ではありません。
Choose your stay	static page source	Wählt euren Aufenthalt	เลือกที่พักของคุณ	滞在を選ぶ
Clear, and	static page source	Klar und	ชัดเจน และ	明快に、
Close	static page source	Schließen	ปิด	閉じる
Coffee & tea facilities	static page source	Kaffee- & Teestation	ชุดชงชากาแฟ	コーヒー＆ティーセット
Coffee & tea making facilities	static page source	Kaffee- & Teestation	ชุดชงชากาแฟ	コーヒー＆ティーセット
Colonial French elegance in 31 square metres, with a private balcony over the garden.	static page source	Französisch-koloniale Eleganz auf 31 Quadratmetern, mit privatem Balkon zum Garten.	ความหรูสไตล์โคโลเนียลฝรั่งเศสใน 31 ตารางเมตร พร้อมระเบียงส่วนตัวมองสวน	31平米に息づくフレンチコロニアルの気品。庭を望むプライベートバルコニー付き。
Colour	static page source	Farbe	โทนสี	色
Comfort	static page source	Komfort	ความสบาย	快適さ
Compare	dynamic renderer	Vergleichen	เปรียบเทียบ	比較
Compare rooms	dynamic renderer	Zimmer vergleichen	เปรียบเทียบห้องพัก	客室を比較
Complimentary · coordinated by Guest Relations	dynamic renderer	Kostenfrei · koordiniert von Guest Relations	ไม่มีค่าใช้จ่าย · ฝ่ายดูแลแขกประสานงาน	無料・ゲストリレーションズが調整
Complimentary · limited availability	static page source	Kostenfrei · begrenzt verfügbar	ไม่มีค่าใช้จ่าย · จำนวนจำกัด	無料・数に限りあり
Complimentary · personally coordinated	dynamic renderer	Kostenfrei · persönlich koordiniert	ไม่มีค่าใช้จ่าย · ประสานงานเป็นการส่วนตัว	無料・個別に調整
Complimentary Shared Shuttle	dynamic renderer	Kostenfreier Gemeinschaftsshuttle	รถรับส่งรวมไม่มีค่าใช้จ่าย	無料シャトル（乗合）
Complimentary stay	static page source	Kostenfreier Aufenthalt	เข้าพักโดยไม่มีค่าใช้จ่าย	無料でのご滞在
CONFIRMED	dynamic renderer	BESTÄTIGT	ยืนยันแล้ว	確定
Connections are drawn as schematic journey lines over the real map · Bangkok → Nong Khai by overnight train · Vientiane → Kunming and Lijiang → Bangkok by flight	static page source	Verbindungen sind als schematische Reiselinien über der echten Karte gezeichnet · Bangkok → Nong Khai mit dem Nachtzug · Vientiane → Kunming und Lijiang → Bangkok per Flug	เส้นทางวาดเป็นเส้นเชิงสัญลักษณ์บนแผนที่จริง · กรุงเทพฯ → หนองคาย โดยรถไฟตู้นอน · เวียงจันทน์ → คุนหมิง และลี่เจียง → กรุงเทพฯ โดยเครื่องบิน	実際の地図の上に旅の線を模式的に描いています・バンコク→ノーンカーイは夜行列車・ビエンチャン→昆明、麗江→バンコクは飛行機
Contact	static page source	Kontakt	ติดต่อ	お問い合わせ
Contact, dietary needs and the small preferences that shape your stay	dynamic renderer	Kontakt, Ernährung und die kleinen Vorlieben, die euren Aufenthalt prägen	ช่องทางติดต่อ อาหาร และความชอบเล็ก ๆ ที่ทำให้การพักของคุณพิเศษ	連絡先、お食事のご希望、滞在を彩る小さなお好み
Continue	static page source	Weiter	ดำเนินการต่อ	次へ
continue to Kunming and Lijiang after the wedding. Guests who would like to join part of the onward journey are warmly welcome to speak with Guest Relations.	static page source	reisen nach der Hochzeit weiter nach Kunming und Lijiang. Gäste, die einen Teil der Weiterreise mitgehen möchten, sind herzlich eingeladen, mit Guest Relations zu sprechen.	เดินทางต่อไปคุนหมิงและลี่เจียงหลังงานแต่ง แขกที่อยากร่วมเส้นทางบางช่วง ยินดีพูดคุยกับฝ่ายดูแลแขกได้เสมอ	は挙式後、昆明と麗江へ旅を続けます。行程の一部にご一緒したい方は、ぜひゲストリレーションズへ。
Continue your journey	dynamic renderer	Eure Reise fortsetzen	เดินทางต่อ	旅をつづける
Contribution	dynamic renderer	Beitrag	ยอดร่วมสมทบ	ご負担額
Coordinated transfer after your train arrival — Guest Relations confirms the exact pickup details personally.	dynamic renderer	Koordinierter Transfer nach eurer Zugankunft — Guest Relations bestätigt die genauen Abholdetails persönlich.	รถรับส่งที่จัดเตรียมไว้หลังรถไฟถึง ฝ่ายดูแลแขกจะยืนยันรายละเอียดการรับด้วยตนเอง	列車到着後の送迎を手配済み——お迎えの詳細はゲストリレーションズが直接ご案内します。
Copy for LINE	static page source	Für LINE kopieren	คัดลอกสำหรับ LINE	LINE用にコピー
Date of birth	dynamic renderer	Geburtsdatum	วันเกิด	生年月日
Dates	dynamic renderer	Daten	วันที่	日程
